# NH4_removal_fraction,P_removal_fraction,LCOW,GenericNP Capital Cost,Electricity Cost,S_PO4 Concentration,S_NH4 Concentration,NH4_removal,P_removal,Upgrade LCOW,Solve Time (s)
4.642857e-01,8.285714e-01,2.291880e-01,2.747880e+04,5.795886e+04,1.182958e+01,1.090018e+00,4.642857e-01,8.285714e-01,8.194710e-03,3.803080e+00
4.642857e-01,9.500000e-01,2.291391e-01,2.667513e+04,5.775895e+04,3.061267e+00,1.096487e+00,4.642857e-01,9.500000e-01,8.194710e-03,8.332227e+00
5.857143e-01,1.000000e-01,2.274465e-01,2.679597e+04,4.414417e+04,5.742071e+01,8.434124e-01,5.857143e-01,1.000000e-01,8.194710e-03,5.734500e+00
5.857143e-01,2.214286e-01,2.277149e-01,2.679597e+04,4.619600e+04,4.960410e+01,8.434126e-01,5.857143e-01,2.214286e-01,8.194710e-03,4.821574e+00
5.857143e-01,3.428571e-01,2.279825e-01,2.679596e+04,4.824210e+04,4.180927e+01,8.434127e-01,5.857143e-01,3.428571e-01,8.194710e-03,4.669637e+00
5.857143e-01,4.642857e-01,2.282493e-01,2.679595e+04,5.028250e+04,3.403614e+01,8.434130e-01,5.857143e-01,4.642857e-01,8.194710e-03,8.266286e+00
5.857143e-01,5.857143e-01,2.285154e-01,2.679593e+04,5.231719e+04,2.628460e+01,8.434134e-01,5.857143e-01,5.857143e-01,8.194710e-03,3.736110e+00
5.857143e-01,7.071429e-01,2.287807e-01,2.679590e+04,5.434616e+04,1.855457e+01,8.434142e-01,5.857143e-01,7.071429e-01,8.194710e-03,3.757167e+00
5.857143e-01,8.285714e-01,2.290453e-01,2.679580e+04,5.636924e+04,1.084592e+01,8.434168e-01,5.857143e-01,8.285714e-01,8.194710e-03,5.765046e+01
5.857143e-01,9.500000e-01,2.292677e-01,2.674571e+04,5.807113e+04,3.102085e+00,8.465177e-01,5.857143e-01,9.500000e-01,8.194710e-03,1.425624e+01
7.071429e-01,1.000000e-01,2.275465e-01,2.686804e+04,4.423725e+04,5.818389e+01,5.951423e-01,7.071429e-01,1.000000e-01,8.194710e-03,4.325836e+00
7.071429e-01,2.214286e-01,2.278191e-01,2.686803e+04,4.632193e+04,5.026320e+01,5.951424e-01,7.071429e-01,2.214286e-01,8.194710e-03,4.859165e+00
7.071429e-01,3.428571e-01,2.280910e-01,2.686802e+04,4.840077e+04,4.236465e+01,5.951425e-01,7.071429e-01,3.428571e-01,8.194710e-03,3.973517e+00
7.071429e-01,4.642857e-01,2.283621e-01,2.686801e+04,5.047380e+04,3.448813e+01,5.951427e-01,7.071429e-01,4.642857e-01,8.194710e-03,4.456319e+00
7.071429e-01,5.857143e-01,2.286324e-01,2.686800e+04,5.254102e+04,2.663356e+01,5.951430e-01,7.071429e-01,5.857143e-01,8.194710e-03,4.363535e+00
7.071429e-01,7.071429e-01,2.289020e-01,2.686796e+04,5.460242e+04,1.880084e+01,5.951436e-01,7.071429e-01,7.071429e-01,8.194710e-03,3.772063e+00
7.071429e-01,8.285714e-01,2.291708e-01,2.686787e+04,5.665782e+04,1.098984e+01,5.951454e-01,7.071429e-01,8.285714e-01,8.194710e-03,4.815708e+00
7.071429e-01,9.500000e-01,2.293956e-01,2.681422e+04,5.837771e+04,3.141803e+00,5.973897e-01,7.071429e-01,9.500000e-01,8.194710e-03,7.318495e+00
8.285714e-01,1.000000e-01,2.276465e-01,2.693885e+04,4.433005e+04,5.893289e+01,3.477558e-01,8.285714e-01,1.000000e-01,8.194710e-03,5.702434e+00
8.285714e-01,2.214286e-01,2.279233e-01,2.693885e+04,4.644712e+04,5.091006e+01,3.477559e-01,8.285714e-01,2.214286e-01,8.194710e-03,5.250819e+00
8.285714e-01,3.428571e-01,2.281994e-01,2.693884e+04,4.855824e+04,4.290970e+01,3.477560e-01,8.285714e-01,3.428571e-01,8.194710e-03,4.118802e+00
8.285714e-01,4.642857e-01,2.284747e-01,2.693883e+04,5.066345e+04,3.493172e+01,3.477561e-01,8.285714e-01,4.642857e-01,8.194710e-03,4.287206e+00
8.285714e-01,5.857143e-01,2.287493e-01,2.693882e+04,5.276274e+04,2.697603e+01,3.477562e-01,8.285714e-01,5.857143e-01,8.194710e-03,3.989840e+01
8.285714e-01,7.071429e-01,2.290230e-01,2.693878e+04,5.485611e+04,1.904252e+01,3.477566e-01,8.285714e-01,7.071429e-01,8.194710e-03,4.269830e+00
8.285714e-01,8.285714e-01,2.292960e-01,2.693869e+04,5.694338e+04,1.113108e+01,3.477576e-01,8.285714e-01,8.285714e-01,8.194710e-03,3.849336e+00
8.285714e-01,9.500000e-01,2.295231e-01,2.688113e+04,5.868021e+04,3.180686e+00,3.490994e-01,8.285714e-01,9.500000e-01,8.194710e-03,4.817600e+00
9.500000e-01,1.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.500000e-01,2.214286e-01,2.280276e-01,2.700853e+04,4.657164e+04,5.154582e+01,1.012484e-01,9.500000e-01,2.214286e-01,8.194710e-03,5.244590e+00
9.500000e-01,3.428571e-01,2.283078e-01,2.700852e+04,4.871464e+04,4.344539e+01,1.012484e-01,9.500000e-01,3.428571e-01,8.194710e-03,4.209163e+00
9.500000e-01,4.642857e-01,2.285873e-01,2.700852e+04,5.085161e+04,3.536769e+01,1.012484e-01,9.500000e-01,4.642857e-01,8.194710e-03,4.465853e+00
9.500000e-01,5.857143e-01,2.288660e-01,2.700850e+04,5.298256e+04,2.731261e+01,1.012485e-01,9.500000e-01,5.857143e-01,8.194710e-03,3.897649e+00
9.500000e-01,7.071429e-01,2.291439e-01,2.700847e+04,5.510749e+04,1.928006e+01,1.012486e-01,9.500000e-01,7.071429e-01,8.194710e-03,4.375269e+00
9.500000e-01,8.285714e-01,2.294210e-01,2.700838e+04,5.722622e+04,1.126990e+01,1.012489e-01,9.500000e-01,8.285714e-01,8.194710e-03,6.923157e+01
9.500000e-01,9.500000e-01,2.296502e-01,2.694678e+04,5.897973e+04,3.218923e+00,1.016474e-01,9.500000e-01,9.500000e-01,8.194710e-03,5.891741e+00
