NH4_removal,P_removal,EI,S_A,S_F,S_I,S_N2,S_NH4,S_NO3,S_O2,S_PO4,S_K,S_Mg,S_IC,X_AUT,X_H,X_I,X_PAO,X_PHA,X_PP,X_S,S_A_est,S_F_est,S_I_est,S_N2_est,S_NH4_est,S_NO3_est,S_O2_est,S_PO4_est,S_K_est,S_Mg_est,S_IC_est,X_AUT_est,X_H_est,X_I_est,X_PAO_est,X_PHA_est,X_PP_est,X_S_est
0.5,0.2,50.5,0.0005661625743479767,0.0004031956495656631,0.057456755591311914,0.038695520154804715,0.00547388392053034,0.0015908109980440534,0.001920001345324774,0.6130967572970093,0.37035003765281527,0.020519439513611723,0.12830424491060957,0.06671136350626018,3.413246551144573,3.119327079495851,3.4543243451058983,0.0886151794678066,1.1511541756674961,0.056722079750676446,0.0005671159389877851,0.00040313101904097657,0.057456755591311914,0.03871297445235829,0.005475036108196735,0.0015918747771600037,0.001920001345324774,0.6141786913076688,0.3703500730424103,0.020519470346622465,0.1283041674471495,0.06673591153129801,3.4133854527749903,3.118526973132866,3.454803547796585,0.08862370385179437,1.1512192004706208,0.056720970268691405
0.5,0.2,1.0,0.0005661625845082363,0.0004031956479260934,0.05745675559120583,0.03869552080778056,0.0054738838931193915,0.001590811129691615,0.0019200013453247885,0.6130967262842716,0.37035003794917076,0.020519439531297298,0.12830423994224016,0.06671136672022177,3.413246510585612,3.1193270379305957,3.454324146373248,0.08861517397618676,1.1511541091783615,0.05672207840518302,0.0005671159389877851,0.00040313101904097657,0.05745675559120583,0.03871297445235829,0.005475036108196735,0.0015918747771600037,0.0019200013453247885,0.6141786913076688,0.3703500730424103,0.020519470346622465,0.1283041674471495,0.06673591153129801,3.4133854527749903,3.118526973132866,3.454803547796585,0.08862370385179437,1.1512192004706208,0.056720970268691405
0.29,0.8,29.29,0.0005977847391624995,0.00040067556418803697,0.05745672379309883,0.04250141042680252,0.006345706704434054,0.002201966220328683,0.0019200012785057132,0.12662085839351248,0.3704826311476388,0.0205170292525948,0.1285168424080937,0.08533680315094538,3.452210733636779,3.138588243460952,3.3562843482782156,0.08683298297648757,1.11825755011963,0.056818510076018944,0.0005974632594659664,0.000400697360298228,0.05745672379309883,0.04249550402153412,0.006345312833843941,0.002201603806729446,0.0019200012785057132,0.1262617245009724,0.370482621487474,0.020517021224382575,0.12851686213181088,0.08532841100064334,3.4521636774065363,3.1388577516411167,3.3561235009134314,0.08683012206573135,1.118235852076686,0.056818883420577795
0.5,0.1,100.0,0.0005661625272031673,0.0004031953158598736,0.05745675559217912,0.03869552099189633,0.00547388348024621,0.00159081096478612,0.0019200013453190238,0.6942883103184028,0.3703500321641436,0.020519438843673,0.12830424846365937,0.06671136878756927,3.4132466975638436,3.1193270241700364,3.454324403575055,0.0886151721890994,1.15115522633597,0.05672208012204537,0.0005646983929566374,0.00040329456154763424,0.05745675559217912,0.0386688254992638,0.0054721425568678116,0.0015891969356429502,0.0019200013453190238,0.6926234159359547,0.3703499726342292,0.02051938464513121,0.12830439041023228,0.06667427669029062,3.4130345587988145,3.1205573668135598,3.453584623353396,0.08860201177113784,1.1510541835402515,0.05672378888495795
0.5,0.1,20.0,0.0005661625294185335,0.0004031953190932301,0.05745675559218475,0.03869552047756668,0.005473883493199874,0.0015908109519332584,0.0019200013453189411,0.6942883096575974,0.3703500320852098,0.020519438792388968,0.12830424874121,0.06671136663794706,3.4132466859305937,3.1193270208900086,3.454324414383371,0.08861517255847531,1.151155229814306,0.05672208006323799,0.0005646983929566374,0.00040329456154763424,0.05745675559218475,0.0386688254992638,0.0054721425568678116,0.0015891969356429502,0.0019200013453189411,0.6926234159359547,0.3703499726342292,0.02051938464513121,0.12830439041023228,0.06667427669029062,3.4130345587988145,3.1205573668135598,3.453584623353396,0.08860201177113784,1.1510541835402515,0.05672378888495795
0.5,0.2,60.0,0.000566162568225324,0.00040319565053539765,0.05745675559137749,0.03869551972391406,0.00547388393909083,0.0015908109171536694,0.001920001345324704,0.6130967794434838,0.37035003750896534,0.020519439542378556,0.12830424786968053,0.06671136136545863,3.413246575324578,3.119327104764193,3.454324467328297,0.08861518285037055,1.15115421654613,0.056722080570796286,0.0005671159389877851,0.00040313101904097657,0.05745675559137749,0.03871297445235829,0.005475036108196735,0.0015918747771600037,0.001920001345324704,0.6141786913076688,0.3703500730424103,0.020519470346622465,0.1283041674471495,0.06673591153129801,3.4133854527749903,3.118526973132866,3.454803547796585,0.08862370385179437,1.1512192004706208,0.056720970268691405
0.5,0.1,50.5,0.0005661625294184744,0.00040319531909324154,0.057456755592184786,0.03869552047757045,0.005473883493199233,0.0015908109519330472,0.0019200013453189411,0.6942883096576861,0.37035003208521167,0.02051943879239044,0.128304248741156,0.06671136663799573,3.4132466859307784,3.1193270208901236,3.454324414383501,0.08861517255847767,1.151155229814354,0.05672208006324044,0.0005646983929566374,0.00040329456154763424,0.057456755592184786,0.0386688254992638,0.0054721425568678116,0.0015891969356429502,0.0019200013453189411,0.6926234159359547,0.3703499726342292,0.02051938464513121,0.12830439041023228,0.06667427669029062,3.4130345587988145,3.1205573668135598,3.453584623353396,0.08860201177113784,1.1510541835402515,0.05672378888495795
0.29,0.8,43.43,0.0005977847391624947,0.00040067556418804055,0.05745672379309883,0.042501410426802486,0.006345706704434057,0.0022019662203286838,0.0019200012785057132,0.12662085839351223,0.3704826311476386,0.02051702925259468,0.1285168424080934,0.08533680315094558,3.4522107336367562,3.1385882434608967,3.3562843482782183,0.08683298297648744,1.1182575501196304,0.05681851007601875,0.0005974632594659664,0.000400697360298228,0.05745672379309883,0.04249550402153412,0.006345312833843941,0.002201603806729446,0.0019200012785057132,0.1262617245009724,0.370482621487474,0.020517021224382575,0.12851686213181088,0.08532841100064334,3.4521636774065363,3.1388577516411167,3.3561235009134314,0.08683012206573135,1.118235852076686,0.056818883420577795
0.5,0.2,100.0,0.0005661625672428481,0.0004031956490522013,0.05745675559137492,0.03869551995905164,0.005473883933194485,0.001590810923014481,0.001920001345324742,0.613096779668027,0.37035003754411877,0.02051943956498217,0.12830424774748872,0.06671136231788724,3.4132465805998025,3.1193271062265433,3.4543244622800677,0.08861518267851946,1.1511542149179406,0.0567220805966161,0.0005671159389877851,0.00040313101904097657,0.05745675559137492,0.03871297445235829,0.005475036108196735,0.0015918747771600037,0.001920001345324742,0.6141786913076688,0.3703500730424103,0.020519470346622465,0.1283041674471495,0.06673591153129801,3.4133854527749903,3.118526973132866,3.454803547796585,0.08862370385179437,1.1512192004706208,0.056720970268691405
0.5,0.2,20.0,0.0005661625682301787,0.00040319565053406647,0.057456755591377716,0.03869551972394891,0.005473883939082441,0.0015908109171612762,0.0019200013453247397,0.613096779430006,0.37035003750882445,0.020519439542220717,0.1283042478689362,0.06671136136534547,3.413246575311139,3.119327104737101,3.4543244672984805,0.0886151828497601,1.1511542165361486,0.05672208057052365,0.0005671159389877851,0.00040313101904097657,0.057456755591377716,0.03871297445235829,0.005475036108196735,0.0015918747771600037,0.0019200013453247397,0.6141786913076688,0.3703500730424103,0.020519470346622465,0.1283041674471495,0.06673591153129801,3.4133854527749903,3.118526973132866,3.454803547796585,0.08862370385179437,1.1512192004706208,0.056720970268691405
